nan	nan	nan	nan	nan	nan	-51.49354252	-50.63268034	-49.78321087	-49.36391303	-48.42927015	-48.13743251	-47.49599347	-47.09338787	-46.76816096	-46.26918465
nan	nan	nan	nan	nan	nan	-51.51499515	-50.86485353	-50.93888818	-51.16197199	-50.65754525	-49.40953872	-48.79275727	-48.05845262	-47.48285866	-47.22622242
nan	nan	nan	nan	nan	-51.91145557	-51.23564168	-49.96306932	-49.81176544	-48.94274084	-48.32370759	-47.97440562	-47.27343107	-46.75875226	-46.45338365	-46.02248692
															
nan	nan	nan	nan	nan	nan	nan	-54.00084582	-53.86780564	-53.32720192	-53.74596436	-52.77577313	-52.00283055	-51.23796794	-50.1857254	-49.60255259
nan	nan	nan	nan	nan	nan	nan	-54.21901814	-54.22452997	-54.45229387	-53.56858856	-52.92938336	-52.25131398	-51.31415062	-50.60435347	-49.90468774
nan	nan	nan	nan	nan	nan	nan	-52.95056379	-52.12637941	-51.88595457	-51.59888479	-51.08497729	-51.20375361	-49.89770384	-49.58685671	-48.83673274
nan	nan	nan	nan	nan	nan	nan	nan	-54.58172448	-54.25956768	-54.93436175	-52.59888479	-52.88595457	-52.06990529	-51.49137713	-50.76966954
nan	nan	nan	nan	nan	nan	nan	nan	-55.51903862	-54.60525123	-53.57322442	-53.17802518	-52.38816081	-51.97249251	-51.16995902	-50.87716321
															
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-56.35741572	-55.96932653	-56.40482902	-54.99819007	-54.53256576	-53.51130519
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-56.49861255	-57.52925053	-56.55193457	-55.38231316	-54.74266328
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-56.39736776	-55.86574866	-54.98691669	-54.0029708	-53.36675807
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-56.48524222	-55.41780173	-55.41240494	-54.82170175	-53.43354981
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-57.71094971	-57.0696255	-56.49858166	-55.76136503	-54.85814556
															
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-56.35686392	-56.18426144	-56.81308704	-56.51702467	-56.06541382	-55.37019309
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-57.16912332	-57.40684653	-57.44667581	-57.06101368	-55.61721996	-55.15881673
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-56.39035642	-56.51482817	-55.45103582	-54.56137753	-54.35239181
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-57.40583275	-57.52939526	-56.1980147	-55.82779761	-56.57075536
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-56.04826031	-55.17351345	-54.95300983	-54.21243988	-54.24180561	-53.34058575
